id, color
9711200, aqua
9802150, aqua
9802109, blue
9905111, green
9407087, aqua
9908142, aqua
9610043, aqua
9510017, aqua
9503124, blue
9906064, blue
9408099, blue
9510209, green
9711162, blue
9510135, green
9410167, aqua
9611050, fuchsia
9601029, blue
9602022, fuchsia
9803131, green
9603142, aqua
9603167, green
9711165, green
9412184, blue
9401139, aqua
9611230, aqua
9602052, fuchsia
9703166, blue
9608024, lime
9710046, lime
9409089, aqua
9910053, lime
9411149, green
9510169, green
106048, blue
9512077, fuchsia
9501068, aqua
9508143, green
9204099, aqua
9802067, purple
9703030, fuchsia
9602043, fuchsia
202021, purple
9810188, lime
9912072, green
9904207, aqua
9512062, fuchsia
9511030, fuchsia
9505105, green
9512059, lime
9802042, blue
9301042, aqua
9602070, aqua
9504090, blue
7170, gray
9601038, blue
101126, gray
9612115, green
9803002, green
9802183, fuchsia
9507158, fuchsia
9507121, green
109162, purple
9411048, blue
9607201, purple
9704080, blue
9805170, aqua
110055, pink
9603161, lime
9804058, lime
9805114, green
9809039, gray
9408074, aqua
9402002, aqua
9802051, gray
210157, pink
9511222, lime
9602114, lime
9611042, purple
9710009, gray
204089, pink
3160, aqua
9812219, lime
9604034, purple
9904017, lime
9803001, fuchsia
9411057, green
9903205, aqua
9712253, purple
9805019, blue
201253, purple
9604035, purple
3136, purple
112044, aqua
9509066, fuchsia
9909134, fuchsia
9402044, aqua
9802068, fuchsia
9801182, pink
9611190, gray
9808141, lime
9807080, lime
9510086, lime
9806087, lime
9710231, pink
9612121, purple
9709220, green
9605150, aqua
9606139, green
9803235, blue
9708147, aqua
9806199, maroon
9804085, green
9508155, lime
9402032, aqua
9706109, purple
7191, gray
111208, pink
9504081, green
9803015, aqua
9510101, fuchsia
9607235, purple
9304154, aqua
9702187, blue
9705221, gray
9510182, fuchsia
9511043, fuchsia
9505162, fuchsia
9905012, blue
9701125, aqua
202109, blue
9611173, blue
201081, blue
9912249, green
9207016, aqua
9910219, aqua
9911116, green
9602051, purple
9505075, fuchsia
7018, gray
9509161, purple
9810072, lime
9708005, green
9505035, blue
9602064, purple
9611159, gray
9909061, pink
110242, aqua
9603003, purple
5031, purple
9148, aqua
106113, green
9309140, aqua
9908105, lime
9712251, green
9902105, green
207116, fuchsia
9512031, green
9806194, fuchsia
9605033, blue
9806051, fuchsia
9906142, fuchsia
9506112, lime
2091, green
208020, aqua
9611137, gray
9701025, blue
9602135, lime
9806104, pink
209230, gray
9601150, fuchsia
9506126, green
9612080, pink
9611202, gray
11197, maroon
9211021, aqua
9706110, pink
9702076, gray
9908056, fuchsia
9603087, blue
9812135, purple
9705131, pink
9510225, purple
9805112, purple
9905210, fuchsia
9703040, pink
9911055, green
9504145, blue
9505150, lime
9701166, maroon
210292, fuchsia
9607163, green
9610148, gray
9205027, aqua
9810126, green
9306002, aqua
9612157, blue
2075, lime
9103, blue
9602136, blue
9505062, fuchsia
9910149, aqua
9608117, gray
9510161, purple
9911161, gray
9606185, aqua
9701149, lime
9807171, navy
9609239, gray
9709027, blue
9810201, gray
108172, fuchsia
9305185, blue
9512219, lime
9505100, lime
9812031, gray
12251, fuchsia
209241, purple
9612128, green
211245, lime
9905104, purple
9908134, purple
9504047, green
9712186, gray
9906200, pink
9603109, green
9208027, aqua
9507050, purple
9508072, aqua
5129, fuchsia
204253, green
9507090, fuchsia
9603061, lime
9611203, pink
102085, pink
9803194, pink
9603090, gray
9912001, purple
206038, purple
9805171, fuchsia
9202, fuchsia
1206, lime
5048, fuchsia
103239, purple
207130, lime
211178, green
9603150, gray
9502072, fuchsia
9307049, aqua
1033, lime
9910004, fuchsia
9806074, fuchsia
9809022, fuchsia
9604166, gray
9609026, aqua
9902121, fuchsia
9906018, pink
2160, pink
8142, green
203211, pink
9610249, pink
102076, gray
107166, aqua
210224, navy
9605184, gray
9509175, gray
9702014, blue
9803031, fuchsia
9604179, lime
9504147, green
5040, purple
9604091, gray
9701093, aqua
9504006, lime
9507048, green
9711138, lime
9603126, pink
9205068, aqua
9511164, fuchsia
9506102, purple
9704089, purple
